;MATRÍCULA;end;LAT;LNG
4323;235456;AVENIDA BRAZ LEME, 3265 - SANTANA SAO PAULO-SP;-23.5037865;-46.6291372
4324;235475;AVENIDA PAULISTA, 2064 - BELA VISTA SAO PAULO-SP;-23.5582958;-46.6595615
4325;235483;RUA MARCO GIANNINI, 323 - JARDIM GILDA MARIA SAO PAULO-SP;-23.5797917;-46.7820038
4326;235470;AVENIDA JURUA, 706 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.5006507;-46.8582984
4327;235490;RUA APIACAS, 85 - VILA POMPEIA SAO PAULO-SP;-23.5333713;-46.67554639999999
4328;235494;RUA APIACAS, 85 - VILA POMPEIA SAO PAULO-SP;-23.5333713;-46.67554639999999
4329;235498;AVENIDA RICARDO JAFET, 1600 - IPIRANGA SAO PAULO-SP;-23.590946;-46.621098
4330;235507;RUA MARCO GIANNINI, 323 - JARDIM GILDA MARIA SAO PAULO-SP;-23.5797917;-46.7820038
4331;235505;RUA CORONEL LISBOA, 139 - VILA MARIANA SAO PAULO-SP;-23.5916906;-46.6391535
4332;235513;RUA CORONEL LISBOA, 139 - VILA MARIANA SAO PAULO-SP;-23.5916906;-46.6391535
4333;235512;RUA LAURO MULLER, 116 - BOTAFOGO RIO DE JANEIRO-RJ;-22.9569798;-43.1768217
4334;235514;RUA APIACAS, 85 - VILA POMPEIA SAO PAULO-SP;-23.5333713;-46.67554639999999
4335;235518;RUA CORONEL LISBOA, 139 - VILA MARIANA SAO PAULO-SP;-23.5916906;-46.6391535
4336;235521;AVENIDA JURUA, 706 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.5006507;-46.8582984
4337;235523;AVENIDA RICARDO JAFET, 1600 - IPIRANGA SAO PAULO-SP;-23.590946;-46.621098
4338;235525;Rodovia Hélio Smidt, S/N - Aeroporto GUARULHOS-SP;-23.4305731;-46.473043
4339;235526;AVENIDA ABRAMO RANDON, 770 - 1º ANDAR, 770 - SAINT ETIENNE CAXIAS DO SUL-RS;-29.1471048;-51.1528629
4340;235527;AVENIDA JURUA, 706 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.5006507;-46.8582984
4341;235529;AVENIDA RICARDO JAFET, 1600 - IPIRANGA SAO PAULO-SP;-23.590946;-46.621098
4342;235537;AV TANCREDO NEVES, 274 - CAMINHO DAS ÁRVORES SALVADOR-BA;-12.9798547;-38.46309
4343;235555;AVENIDA AMERICAS, DAS - Sala 208 e 302 Loja E, 6205 - BARRA DA TIJUCA RIO DE JANEIRO-RJ;-23.0076006;-43.4381311
