NC Funcionário;ADMISSÃO;CARGO;DEMISSÃO;Tipo de Rescisão
233271;2020-02-06;Auxiliar de Manutenção Geral;2020-04-14;Demissão Antec. Contrato Experiência
230760;2019-04-02;Oficial de Manutenção;2020-03-02;Justa Causa
229106;2018-11-05;Eletricista;2020-02-05;Demissão
233318;2020-02-13;Oficial de Manutenção;2020-04-14;Demissão Antec. Contrato Experiência
231524;2019-06-25;Pintor;2020-02-19;Demissão
227632;2018-07-03;Oficial de Manutenção;2020-04-02;Demissão
231185;2019-05-15;Oficial de Manutenção;2020-01-15;Pedido
232862;2019-12-03;Auxiliar de Manutenção Geral;2020-03-05;Demissão
233299;2020-02-11;Oficial de Manutenção;2020-03-24;Demissão Antec. Contrato Experiência
232909;2019-12-10;Hidráulico;2020-01-07;Pedido antecipado do contrato experiência
231274;2019-05-21;Mecânico de Refrigeração;2020-01-08;Demissão
233273;2020-02-06;Pintor;2020-05-04;Demissão Antec. Contrato Experiência
225826;2017-12-24;Porteiro;2020-02-19;Demissão
233645;2020-03-11;Porteiro;2020-05-25;Demissão Antec. Contrato Experiência
230999;2019-04-24;Técnico de Manutenção;2020-04-07;Demissão
226408;2018-03-01;Técnico de Manutenção;2020-04-07;Demissão
231096;2019-05-07;Oficial de Manutenção;2020-04-07;Demissão
226407;2018-03-01;Supervisor Técnico;2020-04-07;Demissão
228156;2018-08-10;Encarregado de Manutenção III;2020-02-13;Pedido
232849;2019-12-03;Oficial de Manutenção;2020-01-13;Pedido antecipado do contrato experiência
211674;2013-11-05;Eletricista III;2020-01-17;Demissão
231364;2019-06-04;Eletricista;2020-01-03;Demissão
231291;2019-05-23;Eletricista;2020-01-03;Demissão
227758;2018-07-19;Auxiliar de Manutenção Elétrica;2020-01-09;Demissão
227095;2018-06-01;Auxiliar de Manutenção Geral;2020-01-03;Demissão
229809;2019-01-07;Pintor;2020-01-15;Demissão
226945;2018-05-11;Oficial de Manutenção;2020-01-15;Demissão
227096;2018-06-01;Oficial de Manutenção;2020-01-15;Demissão
227740;2018-07-18;Encarregado Técnico;2020-01-07;Demissão
228535;2018-08-29;Eletricista;2020-05-26;Demissão
226198;2018-02-08;Hidráulico;2020-05-04;Demissão
229171;2018-11-09;Hidráulico;2020-05-04;Demissão
229288;2018-11-16;Aprendiz - Área Administrativa;2020-03-15;Termino de Contrato
228700;2018-09-24;Recepcionista A;2020-03-02;Demissão
226329;2018-02-16;Operador de Central;2020-01-08;Demissão
226351;2018-02-21;Oficial de Manutenção;2020-05-04;Demissão
228203;2018-08-13;Oficial de Manutenção;2020-02-19;Demissão
233596;2020-03-06;Líder de Manutenção;2020-03-23;Demissão Antec. Contrato Experiência
226948;2018-05-12;Encarregado Técnico;2020-05-05;Demissão
12220;2005-10-10;Supervisor Técnico;2020-05-13;Demissão
226896;2018-05-07;Eletricista;2020-03-02;Pedido
233143;2020-01-23;Eletricista;2020-03-24;Demissão Antec. Contrato Experiência
226889;2018-05-07;Eletricista;2020-02-19;Demissão
233124;2020-01-22;Auxiliar de Manutenção Geral;2020-03-24;Demissão Antec. Contrato Experiência
233239;2020-02-05;Hidráulico;2020-03-23;Demissão Antec. Contrato Experiência
233327;2020-02-14;Oficial de Manutenção;2020-03-24;Demissão Antec. Contrato Experiência
228442;2018-08-20;Oficial de Manutenção;2020-01-04;Justa Causa
226894;2018-05-07;Pintor;2020-01-22;Demissão
231606;2019-07-08;Pintor;2020-04-03;Pedido
231390;2019-06-05;Líder de Manutenção;2020-02-12;Demissão
231153;2019-05-10;Oficial de Manutenção;2020-03-10;Justa Causa
233595;2020-03-06;Mecânico de Refrigeração;2020-03-23;Demissão Antec. Contrato Experiência
233598;2020-03-06;Eletricista;2020-03-23;Demissão Antec. Contrato Experiência
233600;2020-03-06;Hidráulico;2020-03-23;Demissão Antec. Contrato Experiência
228712;2018-09-26;Hidráulico;2020-02-17;Pedido
232817;2019-11-26;Auxiliar de Movimentação;2020-02-03;Pedido antecipado do contrato experiência
227166;2018-06-15;Auxiliar de Movimentação;2020-04-14;Pedido
227233;2018-06-15;Auxiliar de Movimentação;2020-01-01;Pedido
227529;2018-06-25;Auxiliar de Movimentação;2020-04-30;Falecimento
227229;2018-06-15;Auxiliar de Movimentação;2020-02-04;Pedido
232721;2019-11-07;Auxiliar de Movimentação;2020-02-10;Pedido
228873;2018-10-17;Auxiliar Administrativo A;2020-02-03;Pedido
227161;2018-06-15;Auxiliar de Movimentação;2020-02-03;Pedido
231672;2019-07-12;Auxiliar de Movimentação;2020-02-14;Justa Causa
232315;2019-09-03;Auxiliar de Movimentação;2020-05-04;Pedido
232555;2019-10-04;Auxiliar de Movimentação;2020-02-04;Pedido
231647;2019-07-12;Auxiliar de Movimentação;2020-02-14;Justa Causa
228930;2018-10-22;Encarregado de Serviços B;2020-03-04;Demissão
224924;2017-09-20;Assistente Administrativo;2020-03-09;Pedido
233691;2020-03-13;Auxiliar Administrativo B;2020-03-24;Demissão Antec. Contrato Experiência
231701;2019-07-17;Auxiliar Administrativo B;2020-02-13;Demissão
233527;2020-03-03;Mecânico de Refrigeração;2020-03-24;Demissão Antec. Contrato Experiência
233227;2020-02-04;Mecânico de Refrigeração;2020-03-19;Termino de Contrato
231705;2019-07-17;Auxiliar de Manutenção Mecânica;2020-01-16;Demissão
233690;2020-03-13;Auxiliar de Manutenção Mecânica;2020-03-24;Demissão Antec. Contrato Experiência
227608;2018-07-01;Encarregado Técnico;2020-01-13;Demissão
233445;2020-02-21;Pintor;2020-03-24;Demissão Antec. Contrato Experiência
227556;2018-07-01;Auxiliar de Manutenção Geral;2020-02-03;Demissão
233108;2020-01-17;Auxiliar de Manutenção Geral;2020-03-24;Demissão Antec. Contrato Experiência
227590;2018-07-01;Auxiliar de Manutenção Geral;2020-01-22;Pedido
233106;2020-01-17;Auxiliar de Manutenção Geral;2020-03-24;Demissão Antec. Contrato Experiência
233481;2020-03-03;Pintor;2020-03-24;Demissão Antec. Contrato Experiência
227565;2018-07-01;Auxiliar de Manutenção Elétrica;2020-03-07;Demissão
231997;2019-08-06;Mecânico de Refrigeração;2020-02-14;Justa Causa
222427;2017-02-01;Auxiliar Administrativo B;2020-01-02;Demissão
233533;2020-03-03;Encarregado Técnico;2020-04-01;Demissão Antec. Contrato Experiência
216186;2015-05-08;Analista de Manutenção;2020-04-30;Demissão
230173;2019-02-05;Coordenador Técnico A;2020-03-03;Demissão
228740;2018-10-01;Auxiliar Administrativo A;2020-04-30;Demissão
233532;2020-03-03;Encarregado Técnico;2020-04-01;Demissão Antec. Contrato Experiência
232469;2019-09-23;Mecânico de Refrigeração;2020-04-01;Demissão
233220;2020-02-04;Mecânico de Refrigeração;2020-04-01;Demissão Antec. Contrato Experiência
232530;2019-10-02;Mecânico de Refrigeração;2020-04-01;Demissão
233442;2020-03-03;Mecânico de Refrigeração;2020-04-01;Demissão Antec. Contrato Experiência
232842;2019-12-02;Mecânico de Refrigeração;2020-03-13;Pedido
232440;2019-09-17;Mecânico de Refrigeração;2020-02-12;Pedido
230550;2019-03-19;Mecânico de Refrigeração;2020-03-03;Demissão
233487;2020-03-03;Eletricista;2020-04-01;Demissão Antec. Contrato Experiência
230791;2019-04-05;Eletricista;2020-02-13;Pedido
230158;2019-02-05;Eletricista;2020-04-01;Demissão
228839;2018-10-09;Técnico Eletrônico;2020-04-01;Demissão
230308;2019-02-21;Eletricista;2020-04-08;Demissão
232867;2019-12-02;Eletricista;2020-04-01;Demissão
232943;2019-12-12;Oficial de Manutenção;2020-04-02;Demissão
228718;2018-09-26;Mecânico de Manutenção;2020-04-01;Demissão
233049;2020-01-07;Oficial de Manutenção;2020-02-04;Demissão Antec. Contrato Experiência
228717;2018-09-26;Oficial de Manutenção;2020-03-03;Demissão
230969;2019-04-18;Oficial de Manutenção;2020-04-01;Demissão
228853;2018-10-10;Oficial de Manutenção;2020-04-01;Demissão
233488;2020-03-03;Oficial de Manutenção;2020-04-01;Demissão Antec. Contrato Experiência
